Record ID,User ID,User Name,Age,Gender,City,Height (cm),Weight (kg),Workout Type,Workout Duration (Minutes),Calories Burned,Steps,Heart Rate (BPM),Resting Heart Rate (BPM),Sleep Hours,Water Intake (Liters),Daily Calories Intake,Workout Frequency,Fitness Level,Activity Date,Age Group,BMI,BMI Category,Sleep Category,Fitness Level Numeric,Fitness Score,Fitness Score Category,User Fitness Rank,Year,Month,Month Name,Day,Day of Week,Is Weekend,Year-Month
R0011,U063,User_063,43,Female,Peshawar,163.0,78.2,Yoga,33,116,9580,122,76,7.3,3.1,2128,4,Beginner,2025-12-26,36-45,29.43279762128797,Overweight,6-8 hours,1,32.1,Moderate,54,2025,12,December,26,Friday,False,2025-12
R0512,U054,User_054,28,Female,Faisalabad,175.1,81.4,Swimming,51,474,10371,149,70,9.1,3.4,2728,4,Beginner,2025-08-31,26-35,26.549241177677377,Overweight,More than 8 hours,1,49.85,Moderate,12,2025,8,August,31,Sunday,True,2025-08
R0076,U078,User_078,37,Male,Quetta,178.3,69.6,Walking,47,235,9535,145,65,7.5,2.5,2543,4,Intermediate,2026-04-20,36-45,21.89306433383903,Normal Weight,6-8 hours,2,38.63,Moderate,30,2026,4,April,20,Monday,False,2026-04
R0440,U022,User_022,37,Male,Sialkot,170.4,76.6,Running,65,644,14132,136,76,6.1,3.5,2255,3,Beginner,2026-01-25,36-45,26.380898851638783,Overweight,6-8 hours,1,55.97,Good,29,2026,1,January,25,Sunday,True,2026-01
R0480,U092,User_092,55,Female,Sialkot,156.1,72.2,Weight Training,74,610,10724,130,67,6.0,3.4,2357,6,Professional,2025-08-09,46-55,29.629982258945528,Overweight,Less than 6 hours,4,60.76,Good,87,2025,8,August,9,Saturday,True,2025-08
R0141,U040,User_040,37,Male,Multan,175.8,72.3,Weight Training,68,462,10126,123,73,6.7,3.6,2405,3,Beginner,2025-11-23,36-45,23.393788318248706,Normal Weight,6-8 hours,1,45.68,Moderate,49,2025,11,November,23,Sunday,True,2025-11
R0003,U038,User_038,61,Male,Quetta,174.9,84.2,HIIT,32,438,6155,123,73,6.5,1.9,2449,1,Beginner,2026-02-16,56+,27.525326078677317,Overweight,6-8 hours,1,22.39,Low,80,2026,2,February,16,Monday,False,2026-02
R0156,U022,User_022,37,Male,Sialkot,170.4,76.6,Walking,35,168,11384,137,66,6.6,2.6,2158,6,Professional,2026-01-14,36-45,26.380898851638783,Overweight,6-8 hours,4,42.69,Moderate,29,2026,1,January,14,Wednesday,False,2026-01
R0377,U072,User_072,19,Male,Sialkot,163.1,50.9,Yoga,40,143,7800,119,74,8.1,2.4,1766,3,Beginner,2025-09-25,18-25,19.134180224430025,Normal Weight,More than 8 hours,1,29.15,Moderate,57,2025,9,September,25,Thursday,False,2025-09
R0132,U025,User_025,18,Male,Rawalpindi,172.2,59.6,Yoga,39,122,9803,119,77,5.3,3.3,2080,3,Beginner,2026-06-04,18-25,20.099255248401164,Normal Weight,Less than 6 hours,1,27.36,Moderate,24,2026,6,June,4,Thursday,False,2026-06
R0507,U067,User_067,18,Male,Gujranwala,173.5,75.7,Running,54,594,12965,150,63,8.2,3.3,2096,7,Professional,2026-01-20,18-25,25.14762185550914,Overweight,More than 8 hours,4,66.86,Good,17,2026,1,January,20,Tuesday,False,2026-01
R0281,U014,User_014,40,Male,Quetta,155.4,62.7,Running,65,769,9837,142,70,7.9,3.9,2341,5,Advanced,2026-03-04,36-45,25.963636002246037,Overweight,6-8 hours,3,60.93,Good,36,2026,3,March,4,Wednesday,False,2026-03
R0292,U097,User_097,33,Male,Karachi,179.5,93.8,HIIT,24,275,10945,122,69,6.3,2.8,2290,3,Beginner,2026-02-18,26-35,29.112126690512955,Overweight,6-8 hours,1,31.54,Moderate,74,2026,2,February,18,Wednesday,False,2026-02
R0282,U032,User_032,36,Male,Karachi,173.6,63.1,Swimming,47,437,6659,99,89,6.8,3.3,2197,1,Beginner,2026-02-21,36-45,20.93774554566884,Normal Weight,6-8 hours,1,27.28,Moderate,26,2026,2,February,21,Saturday,True,2026-02
R0334,U056,User_056,35,Female,Multan,170.9,58.5,Yoga,26,94,10611,116,70,6.7,2.2,2606,3,Intermediate,2026-01-27,26-35,20.029575294255004,Normal Weight,6-8 hours,2,27.47,Moderate,91,2026,1,January,27,Tuesday,False,2026-01
R0288,U015,User_015,35,Male,Gujranwala,165.0,68.9,Running,48,508,11294,123,69,7.7,2.1,2188,5,Professional,2026-05-16,26-35,25.30762167125804,Overweight,6-8 hours,4,52.7,Good,27,2026,5,May,16,Saturday,True,2026-05
R0251,U099,User_099,37,Male,Peshawar,160.2,104.3,Cardio,61,412,8918,126,67,5.7,3.7,2607,4,Beginner,2026-07-07,36-45,40.64052269245217,Obese,Less than 6 hours,1,42.21,Moderate,44,2026,7,July,7,Tuesday,False,2026-07
R0465,U032,User_032,36,Male,Karachi,173.6,63.1,Walking,27,119,10568,100,73,7.1,3.0,2363,3,Beginner,2025-12-19,36-45,20.93774554566884,Normal Weight,6-8 hours,1,28.93,Moderate,26,2025,12,December,19,Friday,False,2025-12
R0437,U049,User_049,40,Male,Lahore,164.8,56.9,Yoga,60,230,9319,154,70,8.0,3.3,1993,4,Intermediate,2026-07-21,36-45,20.950666886605706,Normal Weight,6-8 hours,2,41.97,Moderate,53,2026,7,July,21,Tuesday,False,2026-07
R0508,U088,User_088,25,Female,Karachi,159.8,78.0,Walking,28,169,8132,114,68,5.7,2.1,2557,5,Intermediate,2026-03-07,18-25,30.54506493567522,Obese,Less than 6 hours,2,30.26,Moderate,77,2026,3,March,7,Saturday,True,2026-03
R0006,U082,User_082,39,Female,Gujranwala,162.6,67.7,Running,69,640,8286,145,73,6.0,2.7,2455,3,Beginner,2025-08-21,36-45,25.606344624331857,Overweight,Less than 6 hours,1,45.87,Moderate,51,2025,8,August,21,Thursday,False,2025-08
R0056,U050,User_050,58,Male,Karachi,178.8,53.8,Running,45,485,10709,127,77,6.5,2.7,2828,3,Beginner,2026-06-15,56+,16.828571285577723,Underweight,6-8 hours,1,41.65,Moderate,71,2026,6,June,15,Monday,False,2026-06
R0375,U005,User_005,32,Male,Gujranwala,174.6,73.7,Running,41,428,8105,124,69,6.3,3.7,2675,5,Advanced,2025-12-06,26-35,24.175697290091314,Normal Weight,6-8 hours,3,40.81,Moderate,59,2025,12,December,6,Saturday,True,2025-12
R0339,U029,User_029,32,Female,Islamabad,156.6,71.7,Walking,55,242,11436,128,66,6.8,3.3,2649,6,Advanced,2025-11-29,26-35,29.237190685202318,Overweight,6-8 hours,3,49.66,Moderate,55,2025,11,November,29,Saturday,True,2025-11
R0031,U069,User_069,37,Male,Islamabad,158.2,64.9,Running,39,405,6655,117,67,5.6,3.3,2750,3,Beginner,2025-08-10,36-45,25.931744770897634,Overweight,Less than 6 hours,1,29.25,Moderate,48,2025,8,August,10,Sunday,True,2025-08
R0074,U034,User_034,33,Female,Quetta,195.0,69.0,Running,70,856,8861,162,71,7.0,2.8,2377,2,Beginner,2025-11-13,26-35,18.14595660749507,Underweight,6-8 hours,1,50.99,Good,56,2025,11,November,13,Thursday,False,2025-11
R0333,U052,User_052,28,Female,Islamabad,159.3,83.9,Running,72,805,9359,155,64,7.3,3.7,2711,4,Advanced,2026-04-08,26-35,33.062098028529554,Obese,6-8 hours,3,58.25,Good,33,2026,4,April,8,Wednesday,False,2026-04
R0069,U001,User_001,35,Male,Multan,169.1,75.0,Swimming,62,630,11919,126,57,6.1,3.4,2745,6,Professional,2025-08-04,26-35,26.22853587766452,Overweight,6-8 hours,4,60.84,Good,42,2025,8,August,4,Monday,False,2025-08
R0010,U051,User_051,23,Female,Sialkot,169.6,89.4,Weight Training,68,529,5129,136,64,6.8,4.2,2124,6,Advanced,2025-12-09,18-25,31.08034442862229,Obese,6-8 hours,3,48.35,Moderate,45,2025,12,December,9,Tuesday,False,2025-12
R0080,U073,User_073,40,Male,Lahore,184.9,61.2,Cardio,33,286,11536,112,54,7.7,1.9,2282,6,Advanced,2026-07-06,36-45,17.901012664966462,Underweight,6-8 hours,3,47.35,Moderate,86,2026,7,July,6,Monday,False,2026-07
R0102,U028,User_028,25,Male,Karachi,178.5,81.2,Running,58,610,7786,144,74,6.7,2.9,2533,2,Beginner,2025-08-17,18-25,25.48470368539573,Overweight,6-8 hours,1,39.47,Moderate,41,2025,8,August,17,Sunday,True,2025-08
R0105,U088,User_088,25,Female,Karachi,159.8,78.0,Running,57,572,11289,149,69,6.6,3.5,2505,3,Intermediate,2026-05-19,18-25,30.54506493567522,Obese,6-8 hours,2,47.89,Moderate,77,2026,5,May,19,Tuesday,False,2026-05
R0278,U040,User_040,37,Male,Multan,175.8,72.3,Yoga,62,405,9740,147,65,6.1,2.7,2609,6,Advanced,2026-03-29,36-45,23.393788318248706,Normal Weight,6-8 hours,3,51.12,Good,49,2026,3,March,29,Sunday,True,2026-03
R0133,U068,User_068,36,Female,Gujranwala,176.8,64.4,Cycling,38,343,8442,111,71,6.6,3.4,2417,1,Beginner,2026-03-23,36-45,20.602567514997645,Normal Weight,6-8 hours,1,25.75,Moderate,94,2026,3,March,23,Monday,False,2026-03
R0439,U063,User_063,43,Female,Peshawar,163.0,78.2,Walking,29,161,6958,122,76,6.0,2.0,1952,2,Beginner,2025-09-23,36-45,29.43279762128797,Overweight,Less than 6 hours,1,18.63,Low,54,2025,9,September,23,Tuesday,False,2025-09
R0326,U097,User_097,33,Male,Karachi,179.5,93.8,Swimming,39,330,5848,103,67,6.6,2.3,2522,1,Beginner,2026-03-15,26-35,29.112126690512955,Overweight,6-8 hours,1,20.88,Low,74,2026,3,March,15,Sunday,True,2026-03
R0073,U046,User_046,24,Female,Sialkot,152.2,80.9,HIIT,15,179,8520,110,73,7.0,2.5,2748,3,Beginner,2025-08-21,18-25,34.92361699886553,Obese,6-8 hours,1,23.72,Low,88,2025,8,August,21,Thursday,False,2025-08
R0229,U065,User_065,37,Male,Faisalabad,161.9,59.7,Walking,36,172,8700,115,72,7.5,3.5,2091,5,Advanced,2026-01-22,36-45,22.77616674443119,Normal Weight,6-8 hours,3,36.27,Moderate,99,2026,1,January,22,Thursday,False,2026-01
R0358,U072,User_072,19,Male,Sialkot,163.1,50.9,Swimming,33,289,8916,117,73,7.2,2.7,1871,1,Beginner,2025-09-23,18-25,19.134180224430025,Normal Weight,6-8 hours,1,25.1,Moderate,57,2025,9,September,23,Tuesday,False,2025-09
R0078,U045,User_045,43,Male,Gujranwala,189.8,73.5,Yoga,53,213,12349,146,63,6.5,3.6,2340,7,Professional,2025-08-16,36-45,20.403041968640938,Normal Weight,6-8 hours,4,52.96,Good,21,2025,8,August,16,Saturday,True,2025-08
R0036,U077,User_077,27,Female,Lahore,188.1,84.9,Walking,45,217,10224,135,69,6.9,2.8,2093,5,Advanced,2026-04-07,26-35,23.99551631483135,Normal Weight,6-8 hours,3,41.3,Moderate,83,2026,4,April,7,Tuesday,False,2026-04
R0091,U036,User_036,34,Female,Faisalabad,179.2,88.5,Running,30,338,8632,129,64,7.4,1.9,2456,5,Intermediate,2025-09-10,26-35,27.559241470025515,Overweight,6-8 hours,2,38.79,Moderate,89,2025,9,September,10,Wednesday,False,2025-09
R0433,U052,User_052,28,Female,Islamabad,159.3,83.9,Walking,49,250,7515,138,74,8.8,3.1,2379,2,Intermediate,2025-09-06,26-35,33.062098028529554,Obese,More than 8 hours,2,31.27,Moderate,33,2025,9,September,6,Saturday,True,2025-09
R0514,U051,User_051,23,Female,Sialkot,169.6,89.4,Weight Training,79,559,12631,148,72,6.6,4.0,2366,4,Intermediate,2025-09-16,18-25,31.08034442862229,Obese,6-8 hours,2,58.48,Good,45,2025,9,September,16,Tuesday,False,2025-09
R0219,U010,User_010,28,Female,Quetta,175.4,45.0,Walking,54,236,9854,156,64,6.0,2.8,2155,6,Advanced,2026-08-01,26-35,14.62693514351949,Underweight,Less than 6 hours,3,45.01,Moderate,15,2026,8,August,1,Saturday,True,2026-08
R0211,U037,User_037,35,Male,Peshawar,177.6,84.4,HIIT,57,668,10714,130,80,6.6,3.1,2556,5,Advanced,2026-08-11,26-35,26.758177096014936,Overweight,6-8 hours,3,55.93,Good,8,2026,8,August,11,Tuesday,False,2026-08
R0125,U086,User_086,43,Male,Multan,168.5,95.0,Running,46,435,7557,117,71,7.8,2.0,2496,3,Beginner,2026-04-16,36-45,33.45983499018217,Obese,6-8 hours,1,37.0,Moderate,75,2026,4,April,16,Thursday,False,2026-04
R0181,U004,User_004,18,Female,Sialkot,193.5,66.2,HIIT,42,401,10175,107,70,7.9,2.3,2593,3,Beginner,2025-12-11,18-25,17.680561397886077,Underweight,6-8 hours,1,40.19,Moderate,40,2025,12,December,11,Thursday,False,2025-12
R0463,U083,User_083,21,Male,Gujranwala,173.0,76.8,Weight Training,54,379,9545,127,74,5.7,2.8,2254,3,Intermediate,2025-10-21,18-25,25.6607303952688,Overweight,Less than 6 hours,2,37.57,Moderate,32,2025,10,October,21,Tuesday,False,2025-10
R0350,U043,User_043,47,Male,Lahore,164.6,76.9,Running,51,584,8435,146,73,7.1,4.2,2566,3,Beginner,2026-05-01,46-55,28.383547729390006,Overweight,6-8 hours,1,42.38,Moderate,97,2026,5,May,1,Friday,False,2026-05
R0337,U008,User_008,28,Female,Quetta,173.3,53.4,Cardio,44,379,8372,119,69,8.6,2.4,2345,3,Beginner,2025-12-27,26-35,17.780506637889324,Underweight,More than 8 hours,1,37.96,Moderate,67,2025,12,December,27,Saturday,True,2025-12
R0235,U015,User_015,35,Male,Gujranwala,165.0,68.9,Swimming,67,587,8475,136,77,7.3,3.1,2573,3,Intermediate,2026-06-14,26-35,25.30762167125804,Overweight,6-8 hours,2,46.59,Moderate,27,2026,6,June,14,Sunday,True,2026-06
R0319,U033,User_033,37,Male,Gujranwala,170.2,80.2,Running,53,536,10409,128,70,5.9,3.1,2521,3,Beginner,2026-06-13,36-45,27.68568394686006,Overweight,Less than 6 hours,1,43.25,Moderate,62,2026,6,June,13,Saturday,True,2026-06
R0381,U051,User_051,23,Female,Sialkot,169.6,89.4,Weight Training,61,397,10143,127,74,7.6,3.8,3050,2,Beginner,2025-09-27,18-25,31.08034442862229,Obese,6-8 hours,1,40.62,Moderate,45,2025,9,September,27,Saturday,True,2025-09
R0071,U012,User_012,38,Female,Rawalpindi,168.3,80.8,Cycling,55,426,6748,128,74,6.7,3.7,2496,3,Beginner,2026-01-22,36-45,28.52614785088309,Overweight,6-8 hours,1,35.53,Moderate,93,2026,1,January,22,Thursday,False,2026-01
R0399,U054,User_054,28,Female,Faisalabad,175.1,81.4,Running,52,563,8335,115,68,7.2,3.2,1985,3,Intermediate,2025-11-01,26-35,26.549241177677377,Overweight,6-8 hours,2,42.07,Moderate,12,2025,11,November,1,Saturday,True,2025-11
R0149,U098,User_098,38,Male,Islamabad,169.1,86.4,Walking,53,294,11405,151,68,6.5,2.9,2382,4,Beginner,2025-08-16,36-45,30.21527333106953,Obese,6-8 hours,1,43.28,Moderate,38,2025,8,August,16,Saturday,True,2025-08
R0085,U094,User_094,26,Female,Peshawar,170.2,60.4,Cycling,58,607,8792,128,69,8.2,2.8,2357,2,Beginner,2026-05-17,26-35,20.85056496746069,Normal Weight,More than 8 hours,1,43.77,Moderate,11,2026,5,May,17,Sunday,True,2026-05
R0064,U042,User_042,21,Male,Karachi,166.9,67.3,Weight Training,70,475,8757,132,70,7.4,3.8,2621,5,Intermediate,2025-10-25,18-25,24.160303795178063,Normal Weight,6-8 hours,2,51.8,Good,66,2025,10,October,25,Saturday,True,2025-10
R0362,U046,User_046,24,Female,Sialkot,152.2,80.9,Walking,38,176,10283,119,64,7.6,2.2,2050,4,Intermediate,2026-05-18,18-25,34.92361699886553,Obese,6-8 hours,2,36.58,Moderate,88,2026,5,May,18,Monday,False,2026-05
R0090,U026,User_026,29,Female,Islamabad,174.0,63.6,Cardio,70,521,6257,131,65,6.5,3.2,2654,3,Intermediate,2025-10-26,26-35,21.00673801030519,Normal Weight,6-8 hours,2,40.19,Moderate,46,2025,10,October,26,Sunday,True,2025-10
R0246,U078,User_078,37,Male,Quetta,178.3,69.6,Cardio,61,523,10480,136,69,7.4,3.5,2128,3,Beginner,2026-08-15,36-45,21.89306433383903,Normal Weight,6-8 hours,1,47.43,Moderate,30,2026,8,August,15,Saturday,True,2026-08
R0178,U084,User_084,41,Male,Karachi,176.0,59.6,Running,63,752,8610,126,77,8.7,3.0,2334,3,Intermediate,2026-02-13,36-45,19.240702479338843,Normal Weight,More than 8 hours,2,52.45,Good,60,2026,2,February,13,Friday,False,2026-02
R0034,U053,User_053,35,Female,Lahore,162.6,81.4,Walking,73,391,10238,155,59,7.2,3.6,2581,5,Intermediate,2025-12-23,26-35,30.788130759536383,Obese,6-8 hours,2,52.76,Good,25,2025,12,December,23,Tuesday,False,2025-12
R0077,U090,User_090,39,Male,Multan,157.8,66.0,Cardio,30,229,8272,134,66,7.1,3.5,2407,3,Intermediate,2025-09-18,36-45,26.505129947423455,Overweight,6-8 hours,2,28.19,Moderate,65,2025,9,September,18,Thursday,False,2025-09
R0083,U086,User_086,43,Male,Multan,168.5,95.0,Running,52,584,6602,145,67,7.8,2.3,2303,2,Beginner,2026-07-20,36-45,33.45983499018217,Obese,6-8 hours,1,37.09,Moderate,75,2026,7,July,20,Monday,False,2026-07
R0001,U064,User_064,20,Male,Faisalabad,176.7,63.5,Cardio,69,630,10903,153,62,6.9,3.8,2580,6,Professional,2026-03-24,18-25,20.33764331232631,Normal Weight,6-8 hours,4,61.95,Good,64,2026,3,March,24,Tuesday,False,2026-03
R0012,U098,User_098,38,Male,Islamabad,169.1,86.4,HIIT,38,372,6415,120,72,4.9,2.6,2223,3,Beginner,2025-08-29,36-45,30.21527333106953,Obese,Less than 6 hours,1,26.56,Moderate,38,2025,8,August,29,Friday,False,2025-08
R0248,U009,User_009,25,Female,Faisalabad,167.0,104.0,Running,30,335,6744,132,70,6.8,2.1,2804,6,Advanced,2025-12-07,18-25,37.29068808490803,Obese,6-8 hours,3,37.56,Moderate,68,2025,12,December,7,Sunday,True,2025-12
R0023,U004,User_004,18,Female,Sialkot,193.5,66.2,HIIT,63,671,6881,150,75,7.5,3.3,2561,2,Beginner,2026-07-30,18-25,17.680561397886077,Underweight,6-8 hours,1,41.86,Moderate,40,2026,7,July,30,Thursday,False,2026-07
R0254,U040,User_040,37,Male,Multan,175.8,72.3,Weight Training,50,339,11783,137,73,8.0,2.5,2598,4,Beginner,2026-01-30,36-45,23.393788318248706,Normal Weight,6-8 hours,1,46.94,Moderate,49,2026,1,January,30,Friday,False,2026-01
R0427,U059,User_059,24,Male,Faisalabad,188.3,86.6,Running,30,241,9129,100,80,5.8,2.4,2242,2,Beginner,2025-08-20,18-25,24.42402590864568,Normal Weight,Less than 6 hours,1,24.55,Low,85,2025,8,August,20,Wednesday,False,2025-08
R0226,U040,User_040,37,Male,Multan,175.8,72.3,Cardio,55,476,6857,170,72,7.0,3.3,2321,4,Advanced,2026-08-04,36-45,23.393788318248706,Normal Weight,6-8 hours,3,40.83,Moderate,49,2026,8,August,4,Tuesday,False,2026-08
R0519,U035,User_035,18,Female,Karachi,174.1,68.7,Walking,38,232,10462,130,65,6.2,2.2,2276,5,Advanced,2025-11-16,18-25,22.665181168038735,Normal Weight,6-8 hours,3,39.31,Moderate,1,2025,11,November,16,Sunday,True,2025-11
R0159,U070,User_070,43,Female,Lahore,166.0,75.5,Walking,28,140,3884,116,79,6.5,2.5,1944,3,Beginner,2025-11-20,36-45,27.398751633038177,Overweight,6-8 hours,1,16.38,Low,98,2025,11,November,20,Thursday,False,2025-11
R0453,U061,User_061,25,Male,Islamabad,150.8,59.6,Cycling,75,601,11249,153,60,8.1,3.3,2348,6,Professional,2025-12-28,18-25,26.208585158553145,Overweight,More than 8 hours,4,65.26,Good,22,2025,12,December,28,Sunday,True,2025-12
R0019,U051,User_051,23,Female,Sialkot,169.6,89.4,Swimming,46,421,10001,118,69,8.8,2.3,2623,3,Intermediate,2025-09-30,18-25,31.08034442862229,Obese,More than 8 hours,2,42.83,Moderate,45,2025,9,September,30,Tuesday,False,2025-09
R0183,U006,User_006,38,Male,Quetta,161.3,81.9,Weight Training,32,233,7654,113,77,8.1,3.0,2381,3,Beginner,2026-04-10,36-45,31.47858245678228,Obese,More than 8 hours,1,29.3,Moderate,76,2026,4,April,10,Friday,False,2026-04
R0336,U029,User_029,32,Female,Islamabad,156.6,71.7,HIIT,28,313,5427,126,71,5.9,2.3,2738,3,Beginner,2026-07-10,26-35,29.237190685202318,Overweight,Less than 6 hours,1,22.6,Low,55,2026,7,July,10,Friday,False,2026-07
R0016,U088,User_088,25,Female,Karachi,159.8,78.0,Yoga,41,141,13039,125,68,6.4,2.5,2134,3,Intermediate,2026-01-09,18-25,30.54506493567522,Obese,6-8 hours,2,36.11,Moderate,77,2026,1,January,9,Friday,False,2026-01
R0387,U011,User_011,44,Male,Gujranwala,173.3,69.7,Running,68,675,8307,138,66,7.7,2.5,2293,4,Beginner,2026-01-14,36-45,23.207889750203858,Normal Weight,6-8 hours,1,52.75,Good,31,2026,1,January,14,Wednesday,False,2026-01
R0040,U055,User_055,18,Female,Peshawar,162.4,71.8,Walking,41,206,10202,121,72,6.1,3.1,2417,3,Beginner,2025-09-02,18-25,27.224028731587758,Overweight,6-8 hours,1,32.04,Moderate,43,2025,9,September,2,Tuesday,False,2025-09
R0486,U001,User_001,35,Male,Multan,169.1,75.0,Running,21,215,6870,111,68,6.1,2.5,2376,2,Beginner,2025-12-30,26-35,26.22853587766452,Overweight,6-8 hours,1,18.15,Low,42,2025,12,December,30,Tuesday,False,2025-12
R0047,U004,User_004,18,Female,Sialkot,193.5,66.2,Yoga,62,219,11980,134,67,7.1,3.6,2479,6,Advanced,2025-10-15,18-25,17.680561397886077,Underweight,6-8 hours,3,52.21,Good,40,2025,10,October,15,Wednesday,False,2025-10
R0094,U099,User_099,37,Male,Peshawar,160.2,104.3,Swimming,49,400,11208,123,75,6.2,3.1,2785,4,Intermediate,2026-08-15,36-45,40.64052269245217,Obese,6-8 hours,2,44.18,Moderate,44,2026,8,August,15,Saturday,True,2026-08
R0168,U055,User_055,18,Female,Peshawar,162.4,71.8,Running,64,726,6903,137,74,8.1,4.1,2064,4,Advanced,2025-12-01,18-25,27.224028731587758,Overweight,More than 8 hours,3,51.21,Good,43,2025,12,December,1,Monday,False,2025-12
R0210,U038,User_038,61,Male,Quetta,174.9,84.2,HIIT,37,389,10840,144,76,5.7,2.7,2180,4,Beginner,2026-05-15,56+,27.525326078677317,Overweight,Less than 6 hours,1,39.59,Moderate,80,2026,5,May,15,Friday,False,2026-05
R0371,U043,User_043,47,Male,Lahore,164.6,76.9,Swimming,54,534,7421,130,69,7.0,3.0,2562,1,Beginner,2026-04-30,46-55,28.383547729390006,Overweight,6-8 hours,1,33.11,Moderate,97,2026,4,April,30,Thursday,False,2026-04
R0378,U092,User_092,55,Female,Sialkot,156.1,72.2,Walking,35,204,9794,129,63,7.5,2.8,2068,5,Intermediate,2025-12-04,46-55,29.629982258945528,Overweight,6-8 hours,2,38.86,Moderate,87,2025,12,December,4,Thursday,False,2025-12
R0290,U025,User_025,18,Male,Rawalpindi,172.2,59.6,Running,68,735,9842,144,72,6.9,2.7,2163,3,Beginner,2026-01-12,18-25,20.099255248401164,Normal Weight,6-8 hours,1,52.42,Good,24,2026,1,January,12,Monday,False,2026-01
R0469,U045,User_045,43,Male,Gujranwala,189.8,73.5,Weight Training,79,532,11225,134,68,6.6,3.9,2427,3,Beginner,2025-11-30,36-45,20.403041968640938,Normal Weight,6-8 hours,1,51.87,Good,21,2025,11,November,30,Sunday,True,2025-11
R0413,U035,User_035,18,Female,Karachi,174.1,68.7,Weight Training,61,450,11804,135,62,7.3,3.5,2226,5,Intermediate,2025-12-22,18-25,22.665181168038735,Normal Weight,6-8 hours,2,54.51,Good,1,2025,12,December,22,Monday,False,2025-12
R0303,U051,User_051,23,Female,Sialkot,169.6,89.4,Walking,53,266,8894,141,67,7.6,3.2,2715,5,Advanced,2026-02-28,18-25,31.08034442862229,Obese,6-8 hours,3,43.13,Moderate,45,2026,2,February,28,Saturday,True,2026-02
R0432,U071,User_071,20,Female,Faisalabad,164.7,50.3,Weight Training,58,296,10802,142,73,6.7,3.0,2394,2,Beginner,2025-10-08,18-25,18.543033662426105,Normal Weight,6-8 hours,1,37.05,Moderate,58,2025,10,October,8,Wednesday,False,2025-10
R0154,U033,User_033,37,Male,Gujranwala,173.6,73.0,Yoga,54,192,8727,124,76,7.5,2.7,2615,2,Beginner,2025-08-19,36-45,24.222748412580433,Normal Weight,6-8 hours,1,31.01,Moderate,62,2025,8,August,19,Tuesday,False,2025-08
